county_name,county_norm,estimate_base_2020_04_01,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2020_2025_pct,change_2024_2025,change_2024_2025_pct
Ohio,OHIO,11799445,11798534,11761443,11764950,11808390,11860621,11900510,101976,0.864,39889,0.336
Adams,ADAMS,27481,27451,27581,27412,27512,27642,27865,414,1.508,223,0.807
Allen,ALLEN,102204,102116,101705,100974,100810,100952,100881,-1235,-1.209,-71,-0.07
Ashland,ASHLAND,52446,52485,52169,51927,52125,52435,52523,38,0.072,88,0.168
Ashtabula,ASHTABULA,97571,97497,97427,96915,96845,96748,96713,-784,-0.804,-35,-0.036
Athens,ATHENS,62428,62386,59057,60907,62745,63080,63197,811,1.3,117,0.185
Auglaize,AUGLAIZE,46421,46466,46245,45896,45980,45936,45909,-557,-1.199,-27,-0.059
Belmont,BELMONT,66495,66285,65878,65382,65003,64764,64434,-1851,-2.792,-330,-0.51
Brown,BROWN,43681,43684,43685,43655,43771,44163,44397,713,1.632,234,0.53
Butler,BUTLER,390345,390845,387409,390108,394636,397781,400128,9283,2.375,2347,0.59
Carroll,CARROLL,26775,26761,26750,26711,26811,26567,26475,-286,-1.069,-92,-0.346
Champaign,CHAMPAIGN,38711,38741,38788,38675,38750,38717,38820,79,0.204,103,0.266
Clark,CLARK,135975,135888,135400,134691,135342,136170,135340,-548,-0.403,-830,-0.61
Clermont,CLERMONT,208597,208751,209917,210781,212253,214314,216977,8226,3.941,2663,1.243
Clinton,CLINTON,42026,42035,42142,41893,42007,42046,42301,266,0.633,255,0.606
Columbiana,COLUMBIANA,101900,101661,101318,100447,100060,99676,99377,-2284,-2.247,-299,-0.3
Coshocton,COSHOCTON,36611,36590,36639,36545,36845,36999,37188,598,1.634,189,0.511
Crawford,CRAWFORD,42017,42013,41753,41479,41485,41540,41896,-117,-0.278,356,0.857
Cuyahoga,CUYAHOGA,1264772,1262619,1246959,1237196,1234796,1233614,1232925,-29694,-2.352,-689,-0.056
Darke,DARKE,51887,51901,51597,51449,51380,51445,51520,-381,-0.734,75,0.146
Defiance,DEFIANCE,38288,38268,38177,38139,38301,38333,38292,24,0.063,-41,-0.107
Delaware,DELAWARE,214141,215181,221342,226809,232079,236863,242032,26851,12.478,5169,2.182
Erie,ERIE,75616,75471,74762,74316,73786,73645,73296,-2175,-2.882,-349,-0.474
Fairfield,FAIRFIELD,158917,159451,161146,163003,165490,167706,169752,10301,6.46,2046,1.22
Fayette,FAYETTE,28942,28969,28897,28812,28769,28709,28552,-417,-1.439,-157,-0.547
Franklin,FRANKLIN,1323793,1324478,1317228,1326392,1337095,1352656,1361536,37058,2.798,8880,0.656
Fulton,FULTON,42713,42647,42505,42041,41970,42075,41853,-794,-1.862,-222,-0.528
Gallia,GALLIA,29210,29226,29203,28959,28941,28956,29072,-154,-0.527,116,0.401
Geauga,GEAUGA,95435,95383,95658,95501,95327,95300,95676,293,0.307,376,0.395
Greene,GREENE,167972,168141,168268,169266,170072,172148,174322,6181,3.676,2174,1.263
Guernsey,GUERNSEY,38439,38426,38298,38056,38132,38329,38379,-47,-0.122,50,0.13
Hamilton,HAMILTON,830631,830412,827182,826532,831699,837859,838418,8006,0.964,559,0.067
Hancock,HANCOCK,74929,74939,74749,74716,74707,74761,75034,95,0.127,273,0.365
Hardin,HARDIN,30691,30724,30417,30367,30411,30254,30072,-652,-2.122,-182,-0.602
Harrison,HARRISON,14492,14498,14473,14364,14237,14099,14070,-428,-2.952,-29,-0.206
Henry,HENRY,27658,27663,27537,27491,27535,27505,27598,-65,-0.235,93,0.338
Highland,HIGHLAND,43317,43363,43440,43352,43532,43704,43823,460,1.061,119,0.272
Hocking,HOCKING,28050,28040,28109,27819,27560,27460,27512,-528,-1.883,52,0.189
Holmes,HOLMES,44223,44239,44381,44361,44407,44743,44970,731,1.652,227,0.507
Huron,HURON,58562,58487,58418,58208,58194,58228,58250,-237,-0.405,22,0.038
Jackson,JACKSON,32653,32671,32533,32606,32646,32741,32817,146,0.447,76,0.232
Jefferson,JEFFERSON,65230,65159,65062,64149,64092,63868,63597,-1562,-2.397,-271,-0.424
Knox,KNOX,62719,62804,62505,63103,63186,63564,64002,1198,1.908,438,0.689
Lake,LAKE,232517,232517,232179,231698,231648,232140,232217,-300,-0.129,77,0.033
Lawrence,LAWRENCE,58243,58146,57375,56526,56196,55957,55710,-2436,-4.189,-247,-0.441
Licking,LICKING,178501,178786,179942,181702,183197,184340,185564,6778,3.791,1224,0.664
Logan,LOGAN,46148,46117,46166,46067,46064,46072,46302,185,0.401,230,0.499
Lorain,LORAIN,312980,313514,314094,316304,318804,321159,323219,9705,3.096,2060,0.641
Lucas,LUCAS,431266,430831,429218,426630,425272,424255,423347,-7484,-1.737,-908,-0.214
Madison,MADISON,43855,43864,44435,43569,44591,45788,46985,3121,7.115,1197,2.614
Mahoning,MAHONING,228605,228006,226248,225714,225487,224777,224706,-3300,-1.447,-71,-0.032
Marion,MARION,65352,65385,65285,64538,64768,64877,65115,-270,-0.413,238,0.367
Medina,MEDINA,182472,182636,183311,183359,183893,184275,185025,2389,1.308,750,0.407
Meigs,MEIGS,22214,22168,22073,21942,21774,21562,21587,-581,-2.621,25,0.116
Mercer,MERCER,42529,42534,42366,42343,42360,42520,42737,203,0.477,217,0.51
Miami,MIAMI,108781,108974,109392,110217,110925,111872,112634,3660,3.359,762,0.681
Monroe,MONROE,13381,13350,13319,13213,13176,13067,12994,-356,-2.667,-73,-0.559
Montgomery,MONTGOMERY,537304,537115,536038,533913,534910,536930,539598,2483,0.462,2668,0.497
Morgan,MORGAN,13800,13756,13698,13624,13620,13605,13626,-130,-0.945,21,0.154
Morrow,MORROW,34955,34996,35227,35311,35614,36008,36305,1309,3.74,297,0.825
Muskingum,MUSKINGUM,86404,86449,86543,86090,86187,86321,87014,565,0.654,693,0.803
Noble,NOBLE,14111,14098,14345,14361,14342,14264,14276,178,1.263,12,0.084
Ottawa,OTTAWA,40367,40303,40143,39945,39810,39729,39481,-822,-2.04,-248,-0.624
Paulding,PAULDING,18804,18809,18903,18760,18703,18757,18727,-82,-0.436,-30,-0.16
Perry,PERRY,35416,35459,35484,35493,35583,35705,35918,459,1.294,213,0.597
Pickaway,PICKAWAY,58544,58659,58760,59953,61125,62207,62978,4319,7.363,771,1.239
Pike,PIKE,27082,27064,27070,26925,26934,27076,27061,-3,-0.011,-15,-0.055
Portage,PORTAGE,161800,161853,159004,161741,162700,163207,163404,1551,0.958,197,0.121
Preble,PREBLE,40999,41007,40871,40526,40561,40718,40664,-343,-0.836,-54,-0.133
Putnam,PUTNAM,34441,34392,34343,34277,34240,34160,34380,-12,-0.035,220,0.644
Richland,RICHLAND,124926,124969,125297,125076,124863,124957,124893,-76,-0.061,-64,-0.051
Ross,ROSS,77094,77067,76493,76365,76276,75998,76429,-638,-0.828,431,0.567
Sandusky,SANDUSKY,58908,58880,58754,58554,58734,58651,58655,-225,-0.382,4,0.007
Scioto,SCIOTO,74004,73849,72932,72209,72047,71824,71365,-2484,-3.364,-459,-0.639
Seneca,SENECA,55080,55061,54975,54650,54719,54694,54522,-539,-0.979,-172,-0.314
Shelby,SHELBY,48234,48158,48035,47690,47786,47952,48065,-93,-0.193,113,0.236
Stark,STARK,374814,374476,373565,372531,372455,373240,373771,-705,-0.188,531,0.142
Summit,SUMMIT,540429,539833,537255,535956,535908,536945,538376,-1457,-0.27,1431,0.267
Trumbull,TRUMBULL,202061,201664,201415,200537,200054,199814,198972,-2692,-1.335,-842,-0.421
Tuscarawas,TUSCARAWAS,93283,93205,92607,91951,91996,92232,92373,-832,-0.893,141,0.153
Union,UNION,62795,63069,65101,66942,69830,71983,73446,10377,16.453,1463,2.032
Van Wert,VAN WERT,28937,28922,28792,28731,28659,28866,29013,91,0.315,147,0.509
Vinton,VINTON,12804,12803,12709,12556,12466,12557,12645,-158,-1.234,88,0.701
Warren,WARREN,242345,243211,246722,249822,252993,255039,257181,13970,5.744,2142,0.84
Washington,WASHINGTON,59773,59657,59485,58890,58637,58599,58389,-1268,-2.125,-210,-0.358
Wayne,WAYNE,116866,116899,116106,116533,116551,116575,116758,-141,-0.121,183,0.157
Williams,WILLIAMS,37106,37084,36792,36642,36626,36621,36549,-535,-1.443,-72,-0.197
Wood,WOOD,132243,132246,130178,131600,132509,133072,134176,1930,1.459,1104,0.83
Wyandot,WYANDOT,21908,21878,21689,21569,21473,21559,21567,-311,-1.422,8,0.037
